# tab:models exactly as printed, one row per model, five arm cells.
# Regenerated from the manuscript; `verify.py model-table` checks every cell
# against the released analysis JSONs. See audit finding #38.
# model_key	none	irrelevant	conclusion_only	proof_prefix	full
qwen2p5_0p5b	35.4/0.00	34.9/0.00	41.1/0.00	43.2/0.00	63.5/0.00
olmo2_1b	35.9/0.00	33.3/0.00	53.6/0.00	34.9/0.00	42.2/0.00
llama3p2_1b	33.9/0.00	33.9/0.00	57.8/0.00	36.5/0.00	37.0/0.00
qwen2p5_1p5b	33.3/0.00	33.3/0.00	43.2/0.00	34.9/0.00	37.0/0.00
smollm2_1p7b	33.3/0.00	33.3/0.00	45.3/0.00	39.6/0.00	69.3/0.38
qwen2p5_3b	41.1/0.00	39.1/0.00	96.4/0.91	74.0/0.56	90.6/0.72
llama3p2_3b	45.8/0.00	43.2/0.02	67.2/0.02	55.2/0.02	80.7/0.42
phi4_mini	44.8/0.00	39.6/0.00	68.2/0.05	71.9/0.33	90.6/0.72
gemma3_4b	63.5/0.36	51.0/0.06	100.0/1.00	84.4/0.53	96.4/0.89
qwen2p5_7b	33.3/0.00	33.3/0.00	97.9/0.94	67.2/0.02	71.4/0.14
llama3p1_8b	38.5/0.00	34.4/0.00	65.6/0.00	64.6/0.00	66.7/0.00
qwen2p5_14b	57.3/0.00	35.4/0.00	80.7/0.42	70.3/0.12	82.8/0.48
